hash_name,room_type
바디워시,RT11
바디오일,RT11
샤워타올,RT11
수건,RT11
바디바,RT11
풋클렌저,RT11
입욕제,RT11
스크럽바,RT11
비누받침,RT11
칫솔,RT12
치약,RT12
칫솔거치대,RT12
치실,RT12
칫솔,RT12
페이셜비누,RT13
비누,RT13
세안비누,RT13
비누망,RT13
클렌징폼,RT13
청소솔,RT14
락스,RT14
청결티슈,RT15
비누트레이,RT15
거품망,RT15
샴푸바,RT16
린스바,RT16
트리트먼트바,RT16
빗,RT16
주방세제,RT21
식기세척기세제,RT21
세탁세제,RT21
섬유유연제,RT21
설거지비누,RT21
세탁비누,RT21
컵,RT22
수저,RT22
접시,RT22
빨대,RT22
수저받침,RT22
젓가락,RT22
뒤집개,RT22
주걱,RT22
국자,RT22
후라이팬뚜껑,RT22
도마,RT22
포크,RT22
티백,RT22
티스푼,RT22
나이프,RT22
수세미,RT23
수세미걸이,RT23
배수구망,RT23
목욕망,RT23
세탁망,RT23
행주,RT23
고무장갑,RT23
냄비받침,RT23
세척솔,RT23
장바구니,RT23
도시락가방,RT23
집게,RT23
용기,RT23
핸드타올,RT23
지퍼백,RT23
얼음틀,RT23
집게걸이,RT23
밀봉클립,RT23
인센스스틱,RT31
괄사,RT31
장신구,RT31
마사지빗,RT31
열쇠고리,RT31
실내화,RT31
인센스홀더,RT31
바스켓,RT31
립밤,RT32
핸드크림,RT32
세럼,RT32
토너,RT32
로션,RT32
틴트,RT32
팩트,RT32
바디로션,RT32
풋크림,RT32
화장솜,RT32
향수,RT32
썬크림,RT32
면봉,RT32
펫이불,RT33
펫베개,RT33
발비누,RT33
반려동물샴푸,RT33
반려동물장난감,RT33
반려동물비누,RT33
배변패드,RT33
배변봉투,RT33
필기도구,RT34
크레파스,RT34
노트,RT34
스티커,RT34
연필,RT34
보드게임,RT34
타로카드,RT34
문구,RT34
달력,RT34
엽서,RT34
포스터,RT34
메모패드,RT34
필통,RT34
가운,RT35
면주머니,RT35
보냉백,RT35
쇼핑백,RT35
파우치,RT35